Show,Date,Placement,Artist,Song,Total,Album Sales,SNS (YouTube),Pre-Vote,On-Air,Live Vote,Digital
Inkigayo,12-10-2023,1.,Taeyeon,To. X,"5,675",66,106,85,400,490,"4,528"
Inkigayo,12-10-2023,2.,aespa,Drama,"5,519",2,180,79,0,500,"4,758"
Inkigayo,12-10-2023,3.,JENNIE,You & Me,"3,838",0,247,78,0,17,"3,496"
Inkigayo,12-03-2023,1.,IVE,Baddie,"5,731",,,,,,
Inkigayo,11-26-2023,1.,aespa,Drama,"6,719",66,"3,000",47,0,500,"3,106"
Inkigayo,11-26-2023,2.,IVE,Baddie,"5,894",2,250,41,0,438,"5,163"
Inkigayo,11-26-2023,3.,JENNIE,You & Me,"4,575",0,770,19,0,13,"3,773"
Inkigayo,11-19-2023,1.,IVE,Baddie,"6,089",6,231,39,0,500,"5,313"
Inkigayo,11-19-2023,2.,AKMU,Fry's Dream,"4,702",0,64,20,286,39,"4,293"
Inkigayo,11-19-2023,3.,JENNIE,You & Me,"4,685",0,743,16,0,21,"3,905"
Inkigayo,11-12-2023,1.,IVE,Baddie,"6,292",2,354,39,0,466,"5,431"
Inkigayo,11-12-2023,2.,JENNIE,You & Me,"6,131",0,"1,229",20,0,500,"4,382"
Inkigayo,11-12-2023,3.,AKMU,Fry's Dream,"5,088",0,112,19,215,9,"4,733"
Inkigayo,11-05-2023,1.,SEVENTEEN,God of Music,"8,290","1,000","3,000",324,500,500,"2,966"
Inkigayo,11-05-2023,2.,AKMU,Fry's Dream,"5,447",0,55,20,250,4,"5,118"
Inkigayo,11-05-2023,3.,JENNIE,You & Me,"5,403",0,634,21,0,16,"4,732"
Inkigayo,10-29-2023,1.,IVE,Either Way,"6,433","1,000",122,0,0,500,"4,811"
Inkigayo,10-29-2023,2.,JENNIE,You & Me,"5,709",0,973,46,0,130,"4,560"
Inkigayo,10-29-2023,3.,AKMU,Fry's Dream,"5,315",0,73,0,0,5,"5,237"
Inkigayo,10-22-2023,1.,AKMU,Love Lee,"6,278",0,311,27,500,29,"5,411"
Inkigayo,10-22-2023,2.,JENNIE,You & Me,"6,267",0,"1,800",41,215,500,"3,711"
Inkigayo,10-22-2023,3.,AKMU,Fry's Dream,"5,176",0,103,0,286,1,"4,786"
Inkigayo,10-15-2023,1.,AKMU,Love Lee,"6,330",0,527,45,250,8,"5,500"
Inkigayo,10-15-2023,2.,Jung Kook,3D,"5,646",0,"2,806",346,500,500,"1,494"
Inkigayo,10-15-2023,3.,AKMU,Fry's Dream,"5,186",0,172,0,250,0,"4,764"
Inkigayo,09-17-2023,1.,AKMU,Love Lee,"6,337",0,257,36,500,44,"5,500"
Inkigayo,09-17-2023,2.,NewJeans,ETA,"5,272",9,327,36,0,328,"4,572"
Inkigayo,09-17-2023,3.,RIIZE,Get A Guitar,"4,671",372,"3,000",37,125,500,637
Inkigayo,09-10-2023,1.,NewJeans,ETA,"6,111",5,244,36,250,76,"5,500"
Inkigayo,09-10-2023,2.,NCT U,Baggy Jeans,"5,248","1,000","3,000",125,0,500,623
Inkigayo,09-10-2023,3.,Parc Jae-jung,Let's Say Goodbye,"4,568",1,10,44,0,4,"4,509"
Inkigayo,09-03-2023,1.,NewJeans,ETA,"6,572",82,365,0,125,500,"5,500"
Inkigayo,09-03-2023,2.,Parc Jae-jung,Let's Say Goodbye,"4,433",1,13,45,125,41,"4,208"
Inkigayo,09-03-2023,3.,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife","3,768",216,266,0,125,143,"3,018"
Inkigayo,08-27-2023,1.,NewJeans,Super Shy,"7,211",49,812,52,500,500,"5,298"
Inkigayo,08-27-2023,2.,NewJeans,ETA,"6,044",49,367,0,313,4,"5,311"
Inkigayo,08-27-2023,3.,STAYC,Bubble,"5,906","1,000","3,000",33,750,426,697
Inkigayo,08-20-2023,1.,NewJeans,Super Shy,"6,724",33,583,55,500,148,"5,405"
Inkigayo,08-20-2023,2.,NewJeans,ETA,"5,791",33,336,0,215,0,"5,207"
Inkigayo,08-20-2023,3.,THE BOYZ,LIP GLOSS,"4,923","1,000","1,621",306,"1,000",500,496
Inkigayo,08-20-2023,4.,SOMI,Fast Forward,0,,,,,,
Inkigayo,08-20-2023,5.,Parc Jae-jung,Let's Say Goodbye,0,,,,,,
Inkigayo,08-20-2023,6.,V,Love Me Again,0,,,,,,
Inkigayo,08-20-2023,7.,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife",0,,,,,,
Inkigayo,08-20-2023,8.,aespa,Spicy,0,,,,,,
Inkigayo,08-20-2023,9.,IVE,Kitsch,0,,,,,,
Inkigayo,08-20-2023,10.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),0,,,,,,
Inkigayo,08-13-2023,1.,Jung Kook,Seven (feat. Latto),"8,425",0,"2,918",475,334,500,"4,198"
Inkigayo,08-13-2023,2.,NewJeans,Super Shy,"7,188",94,"1,086",80,375,53,"5,500"
Inkigayo,08-13-2023,3.,NewJeans,ETA,"5,566",94,688,0,125,0,"4,659"
Inkigayo,08-06-2023,1.,Jung Kook,Seven (feat. Latto),"8,379",0,"3,000",500,445,500,"3,934"
Inkigayo,08-06-2023,2.,NewJeans,Super Shy,"7,047",25,985,96,389,52,"5,500"
Inkigayo,08-06-2023,3.,NewJeans,ETA,"5,175",25,860,0,278,0,"4,012"
Inkigayo,07-30-2023,1.,Jung Kook,Seven (feat. Latto),"8,074",0,"2,758",438,500,500,"3,878"
Inkigayo,07-30-2023,2.,NewJeans,Super Shy,"7,060",520,528,69,410,33,"5,500"
Inkigayo,07-30-2023,3.,NCT DREAM,ISTJ,"6,942","1,000","3,000",374,682,358,"1,528"
Inkigayo,07-23-2023,1.,NewJeans,Super Shy,"6,994",0,632,59,500,303,"5,500"
Inkigayo,07-23-2023,2.,Jung Kook,Seven (feat. Latto),"4,915",0,"3,000",0,0,500,"1,415"
Inkigayo,07-23-2023,3.,Parc Jae-jung,Let's Say Goodbye,"4,104",1,5,35,417,7,"3,639"
Inkigayo,07-16-2023,1.,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife","6,463",24,508,0,0,500,"5,431"
Inkigayo,07-16-2023,2.,aespa,Spicy,"5,718",79,245,30,0,177,"5,187"
Inkigayo,07-16-2023,3.,IVE,Kitsch,"4,835",62,209,16,0,82,"4,466"
Inkigayo,07-09-2023,1.,SHINee,HARD,"6,666",619,"3,000",226,"1,000",500,"1,321"
Inkigayo,07-09-2023,2.,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife","6,235",1,631,0,215,31,"5,357"
Inkigayo,07-09-2023,3.,aespa,Spicy,"6,037",53,316,46,286,3,"5,333"
Inkigayo,07-02-2023,1.,Jisoo,Flower,"6,961",4,"3,000",23,0,500,"3,434"
Inkigayo,07-02-2023,2.,LE SSERAFIM,"Eve, Psyche & The Bluebeard’s wife","6,626",0,"1,066",0,500,43,"5,017"
Inkigayo,07-02-2023,3.,aespa,Spicy,"6,193",78,594,32,0,30,"5,459"
Inkigayo,06-25-2023,1.,IVE,I Am,"6,882",3,851,28,0,500,"5,500"
Inkigayo,06-25-2023,2.,aespa,Spicy,"5,406",0,365,31,0,27,"4,983"
Inkigayo,06-25-2023,3.,Jisoo,Flower,"5,162",1,"1,898",19,0,93,"3,151"
Inkigayo,06-18-2023,1.,IVE,I Am,"6,398",7,760,32,0,99,"5,500"
Inkigayo,06-18-2023,2.,STRAY KIDS,S-Class,"5,891","1,000","3,000",130,0,500,"1,261"
Inkigayo,06-18-2023,3.,aespa,Spicy,"5,696",0,346,30,215,10,"5,095"
Inkigayo,06-11-2023,1.,(G)I-DLE,Queencard,"9,423",8,"1,735",77,292,500,"5,500"
Inkigayo,06-11-2023,2.,IVE,I Am,"6,010",1,794,31,125,302,"4,757"
Inkigayo,06-11-2023,3.,aespa,Spicy,"5,196",22,427,48,0,54,"4,645"
Inkigayo,06-04-2023,1.,(G)I-DLE,Queencard,"9,423",42,"3,000",103,500,500,"5,278"
Inkigayo,06-04-2023,2.,aespa,Spicy,"6,385",77,668,93,250,59,"5,238"
Inkigayo,06-04-2023,3.,IVE,I Am,"6,555",3,740,40,250,242,"5,280"
Inkigayo,05-28-2023,1.,(G)I-DLE,Queencard,"8,779",,,,,,
Inkigayo,05-21-2023,1.,aespa,Spicy,"7,742",,,,,,
Inkigayo,05-21-2023,2.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"5,954",,,,,,
Inkigayo,05-14-2023,1.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"8,466",,,,,,
Inkigayo,05-07-2023,1.,SEVENTEEN,Super,"7,884",,,,,,
Inkigayo,04-30-2023,1.,Jisoo,Flower,"7,902",,,,,,
Inkigayo,04-23-2023,1.,IVE,I Am,"10,586",,,,,,
Inkigayo,04-16-2023,1.,Jisoo,Flower,"8,714",,,,,,
Inkigayo,04-09-2023,1.,IVE,Kitsch,"8,273",,,,,,
Inkigayo,04-02-2023,1.,NewJeans,Hype Boy,"5,932",,,,,,
Inkigayo,03-26-2023,1.,NewJeans,OMG,"6,309",,,,,,
Inkigayo,03-19-2023,1.,NewJeans,OMG,"5,781",,,,,,
Inkigayo,03-05-2023,1.,THE BOYZ,Roar,"6,463",,,,,,
Inkigayo,02-26-2023,1.,STAYC,Teddy Bear,"5,774",,,,,,
Inkigayo,02-19-2023,1.,BSS,Fighting,"8,165",,,,,,
Inkigayo,02-12-2023,1.,TOMORROW X TOGETHER,Sugar Rush Ride,"7,233",,,,,,
Inkigayo,02-05-2023,1.,NewJeans,Ditto,"6,006",,,,,,
Inkigayo,01-29-2023,1.,NewJeans,Ditto,"7,119",,,,,,
Inkigayo,01-15-2023,1.,NewJeans,OMG,"8,795",,,,,,
Inkigayo,01-08-2023,1.,NewJeans,Ditto,"6,719",,,,,,
