Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,12-16-2023,1.,LE SSERAFIM,Perfect Night,"6,863","5,000",0,138,300,128,500,329,468
Show! Music Core,12-16-2023,2.,aespa,Drama,"6,119","3,957",131,163,200,326,450,392,500
Show! Music Core,12-16-2023,3.,Taeyeon,To. X,"5,568","3,698",0,34,300,500,400,500,136
Show! Music Core,12-09-2023,1.,LE SSERAFIM,Perfect Night,"6,034","5,000",0,47,150,80,450,222,85
Show! Music Core,12-09-2023,2.,ATEEZ,Crazy Form,"5,642","2,536","1,000",388,50,168,500,500,500
Show! Music Core,12-09-2023,3.,Taeyeon,To. X,"5,296","4,048",66,35,200,274,280,347,46
Show! Music Core,12-02-2023,1.,THE BOYZ,Watch It,"7,129","2,529","1,000","1,000",600,500,500,500,500
Show! Music Core,12-02-2023,2.,LE SSERAFIM,Perfect Night,"6,048","5,000",,75,295,56,400,64,158
Show! Music Core,12-02-2023,3.,aespa,Drama,"5,318","3,777",69,172,229,188,450,140,293
Show! Music Core,11-25-2023,1.,Red Velvet,Chill Kill,"7,137","3,634",222,486,845,500,340,500,500
Show! Music Core,11-25-2023,2.,aespa,Drama,"6,891","4,013",66,"1,000",550,402,350,330,180
Show! Music Core,11-25-2023,3.,IVE,Baddie,"5,823","5,000",2,76,57,179,260,130,119
Show! Music Core,11-18-2023,1.,STRAY KIDS,LA LA LA LA,"6,901","3,022","1,000",879,0,500,500,500,500
Show! Music Core,11-18-2023,2.,IVE,Baddie,"5,874","5,000",5,77,100,230,400,53,9
Show! Music Core,11-18-2023,3.,Jung Kook,Standing Next To You,"5,264","3,315",105,518,299,105,450,342,130
Show! Music Core,11-11-2023,1.,TAEMIN,Guilty,"6,420","3,066",129,345,880,500,500,500,500
Show! Music Core,11-11-2023,2.,Jung Kook,Standing Next To You,"5,884","3,049","1,000",622,0,77,450,311,375
Show! Music Core,11-11-2023,3.,IVE,Baddie,"5,815","5,000",2,73,120,220,300,57,43
Show! Music Core,11-04-2023,1.,SEVENTEEN,God of Music,"9,096","5,000","1,000","1,000",214,432,450,500,500
Show! Music Core,11-04-2023,2.,IVE,Baddie,"4,123","2,871",1,60,129,293,350,295,124
Show! Music Core,11-04-2023,3.,JENNIE,You & Me,"3,340","2,714",0,211,86,101,200,17,11
Show! Music Core,10-28-2023,1.,Lim Young-woong,Do or Die,"6,798","5,000",0,31,129,138,500,500,500
Show! Music Core,10-28-2023,2.,IVE,Baddie,"6,027","3,973","1,000",105,129,334,400,50,36
Show! Music Core,10-28-2023,3.,JENNIE,You & Me,"5,982","4,848",0,324,129,163,450,9,59
Show! Music Core,10-21-2023,1.,Lim Young-woong,Do or Die,"7,246","5,000",0,118,511,117,500,500,500
Show! Music Core,10-21-2023,2.,AKMU,Love Lee,"3,519","2,905",0,104,300,208,0,2,0
Show! Music Core,10-21-2023,3.,JENNIE,You & Me,"3,482","2,404",0,600,150,100,220,6,2
Show! Music Core,10-14-2023,1.,NCT 127,Fact Check,"8,804","5,000","1,000",878,,426,500,500,500
Show! Music Core,10-14-2023,2.,AKMU,Love Lee,"4,913","3,897",,175,300,237,300,3,1
Show! Music Core,10-14-2023,3.,Jung Kook,3D,"4,125","2,501",,935,,124,450,93,22
Show! Music Core,09-23-2023,1.,AKMU,Love Lee,"5,637","5,000",0,116,393,98,20,5,5
Show! Music Core,09-23-2023,2.,KEY,Good & Great,"4,893","1,430",294,434,735,500,500,500,500
Show! Music Core,09-23-2023,3.,SOMI,Fast Forward,"3,330","3,152",7,92,14,2,60,2,1
Show! Music Core,09-16-2023,1.,AKMU,Love Lee,"6,315","5,000",,85,262,251,220,182,315
Show! Music Core,09-16-2023,2.,NewJeans,ETA,"5,652","4,035",8,109,37,113,350,500,500
Show! Music Core,09-16-2023,3.,SOMI,Fast Forward,"3,978","3,366",,121,75,137,100,167,12
Show! Music Core,09-09-2023,1.,Jung Kook,Seven (feat. Latto),"7,026","5,000",0,404,66,106,450,500,500
Show! Music Core,09-09-2023,2.,NewJeans,ETA,"5,347","4,971",4,81,166,39,60,22,4
Show! Music Core,09-09-2023,3.,AKMU,Love Lee,"4,543","3,846",0,43,300,183,160,9,2
Show! Music Core,09-02-2023,1.,Jung Kook,Seven (feat. Latto),"6,671","4,563",,559,,99,450,500,500
Show! Music Core,09-02-2023,2.,NewJeans,Super Shy,"5,653","5,000",64,281,60,111,100,32,5
Show! Music Core,09-02-2023,3.,SOMI,Fast Forward,"3,432","3,026",5,189,90,62,40,18,2
Show! Music Core,08-26-2023,1.,Jung Kook,Seven (feat. Latto),"6,832","4,449",,495,225,163,500,500,500
Show! Music Core,08-26-2023,2.,NewJeans,Super Shy,"5,848","5,000",31,232,150,154,220,48,13
Show! Music Core,08-26-2023,3.,STAYC,Bubble,"3,421","1,120",624,859,225,141,260,152,40
Show! Music Core,08-05-2023,1.,Jung Kook,Seven (feat. Latto),"6,689","3,772",,"1,000",300,117,500,500,500
Show! Music Core,08-05-2023,2.,NewJeans,Super Shy,"5,948","5,000",24,328,92,127,300,49,28
Show! Music Core,08-05-2023,3.,Oh My Girl,Summer Comes,"3,273","1,097",26,932,793,137,200,75,13
Show! Music Core,07-29-2023,1.,NCT DREAM,ISTJ,"9,420","5,000","1,000","1,000",420,500,500,500,500
Show! Music Core,07-29-2023,2.,NewJeans,Super Shy,"5,985","4,723",520,176,150,128,260,23,5
Show! Music Core,07-29-2023,3.,Jung Kook,Seven (feat. Latto),"5,840","3,675",0,919,300,113,450,188,195
Show! Music Core,07-22-2023,1.,NewJeans,Super Shy,"6,078","5,000",,211,300,148,350,62,7
Show! Music Core,07-22-2023,2.,EXO,Cream Soda,"5,767","2,174","1,000",212,381,500,500,500,500
Show! Music Core,07-22-2023,3.,Jung Kook,Seven (feat. Latto),"5,222","3,080",,"1,000",,108,400,458,176
Show! Music Core,07-15-2023,1.,Lim Young-woong,Grains of Sand,"6,691","5,000",,35,75,81,500,500,500
Show! Music Core,07-15-2023,2.,NewJeans,Super Shy,"4,313","3,187",,613,,227,260,24,2
Show! Music Core,07-15-2023,3.,SHINee,HARD,"4,288","1,368",909,54,899,466,450,91,51
Show! Music Core,07-08-2023,1.,SHINee,HARD,"9,196","4,382","1,000","1,000","1,000",500,500,500,314
Show! Music Core,07-08-2023,2.,aespa,Spicy,"5,408","5,000",85,106,32,119,60,5,1
Show! Music Core,07-08-2023,3.,Lim Young-woong,Grains of Sand,"5,015","3,687",,51,100,69,260,348,500
Show! Music Core,07-01-2023,1.,i-dle,Queencard,"7,504","5,000",23,809,300,232,140,500,500
Show! Music Core,07-01-2023,2.,aespa,Spicy,"5,015","3,755",77,214,400,426,40,87,16
Show! Music Core,07-01-2023,3.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"4,534","3,831",,214,65,209,,187,28
Show! Music Core,06-24-2023,1.,i-dle,Queencard,"6,369","5,000",24,522,74,182,400,82,85
Show! Music Core,06-24-2023,2.,ATEEZ,Bouncy (K-Hot Chilli Peppers),"5,643","1,799","1,000","1,000",37,357,450,500,500
Show! Music Core,06-24-2023,3.,aespa,Spicy,"4,499","3,729",0,122,111,376,120,37,4
Show! Music Core,06-17-2023,1.,Lim Young-woong,Grains of Sand,"6,519","5,000",,113,171,85,450,500,200
Show! Music Core,06-17-2023,2.,STRAY KIDS,S-Class,"5,153",948,"1,000","1,000",557,500,500,148,500
Show! Music Core,06-17-2023,3.,i-dle,Queencard,"4,891","3,613",17,427,427,134,260,12,1
Show! Music Core,06-10-2023,1.,i-dle,Queencard,"6,460","5,000",7,580,255,138,400,50,50
Show! Music Core,06-10-2023,2.,STRAY KIDS,S-Class,"5,808","1,108","1,000","1,000",700,500,500,500,500
Show! Music Core,06-10-2023,3.,IVE,I Am,"5,612","4,567",1,265,299,151,280,44,5
Show! Music Core,06-03-2023,1.,i-dle,Queencard,"8,133","4,795",42,"1,000",600,346,350,500,500
Show! Music Core,06-03-2023,2.,IVE,I Am,"6,344","5,000",2,247,225,229,260,270,111
Show! Music Core,06-03-2023,3.,aespa,Spicy,"6,064","4,650",77,223,187,500,240,114,73
Show! Music Core,05-27-2023,1.,i-dle,Queencard,"7,757",,,,,,,,
Show! Music Core,05-20-2023,1.,aespa,Spicy,"7,511",,,,,,,,
Show! Music Core,05-20-2023,2.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"5,887",,,,,,,,
Show! Music Core,05-13-2023,1.,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"7,172",,,,,,,,
Show! Music Core,05-06-2023,1.,SEVENTEEN,Super,"7,805",,,,,,,,
Show! Music Core,04-29-2023,1.,NCT DoJaeJung,Perfume,"6,600",,,,,,,,
Show! Music Core,04-22-2023,1.,IVE,I Am,"9,668",,,,,,,,
Show! Music Core,04-15-2023,1.,Jisoo,Flower,"7,521",,,,,,,,
Show! Music Core,04-08-2023,1.,IVE,Kitsch,"7,654",,,,,,,,
Show! Music Core,03-25-2023,1.,Kai,Rover,"5,952",,,,,,,,
Show! Music Core,03-18-2023,1.,ONEW,O (Circle),"6,590",,,,,,,,
Show! Music Core,03-11-2023,1.,STAYC,Teddy Bear,"7,514",,,,,,,,
Show! Music Core,03-04-2023,1.,THE BOYZ,Roar,"9,401",,,,,,,,
Show! Music Core,02-25-2023,1.,BSS,Fighting,"5,809",,,,,,,,
Show! Music Core,02-18-2023,1.,BSS,Fighting,"7,474",,,,,,,,
Show! Music Core,02-11-2023,1.,NCT 127,Ay-Yo,"8,979",,,,,,,,
Show! Music Core,02-04-2023,1.,NewJeans,Ditto,"5,690",,,,,,,,
Show! Music Core,01-28-2023,1.,NewJeans,Ditto,"6,758",,,,,,,,
Show! Music Core,01-14-2023,1.,NewJeans,Ditto,"7,002",,,,,,,,
Show! Music Core,01-07-2023,1.,NewJeans,Ditto,"5,843",,,,,,,,
