Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (Hanteo),SNS (YouTube),Pre-vote,Broadcast,Live Vote
The Show,11-22-2022,1.0,YooA,Selfish,"7,227",,,,,,
The Show,11-15-2022,1.0,Highlight,Alone,"9,170",,,,,,
The Show,10-25-2022,1.0,(G)I-DLE,Nxde,"8,551",,,,,,
The Show,10-18-2022,1.0,DKZ,Uh-Heung,"8,530",,,,,,
The Show,10-04-2022,1.0,Cravity,Party Rock,"9,110",,,,,,
The Show,09-20-2022,1.0,ONEUS,Same Scent,"9,370",,,,,,
The Show,09-13-2022,1.0,ONEUS,Same Scent,"7,950",,,,,,
The Show,09-06-2022,1.0,IVE,After LIKE,"7,403",,,,,,
The Show,08-30-2022,1.0,IVE,After LIKE,"8,734",,,,,,
The Show,08-09-2022,1.0,ATEEZ,Guerrilla,"8,640",,,,,,
The Show,08-02-2022,1.0,ATEEZ,Guerrilla,"7,200",,,,,,
The Show,07-26-2022,1.0,STAYC,BEAUTIFUL MONSTER,"8,369",,,,,,
The Show,07-19-2022,1.0,Chung Ha,Sparkling,"6,984",,,,,,
The Show,07-12-2022,1.0,ENHYPEN,Future Perfect (Pass the Mic),"7,200",,,,,,
The Show,07-05-2022,1.0,fromis_9,Stay That Way,"8,270",,,,,,
The Show,06-28-2022,1.0,LOONA,Flip That,"8,200",,,,,,
The Show,06-07-2022,1.0,Jo Yu-ri,Love Shhh!,"6,489",,,,,,
The Show,05-24-2022,1.0,ASTRO,Candy Sugar Pop,"8,970",,,,,,
The Show,05-17-2022,1.0,LE SSERAFIM,FEARLESS,"9,670",,,,,,
The Show,05-10-2022,1.0,LE SSERAFIM,FEARLESS,"8,456",,,,,,
The Show,05-03-2022,1.0,Miyeon,Drive,"6,944",,,,,,
The Show,04-26-2022,1.0,Dreamcatcher,MAISON,"7,914",,,,,,
The Show,04-26-2022,2.0,DKZ,Cupid,"7,900",,,,,,
The Show,04-26-2022,3.0,EPEX,Anthem of Teen Spirit,"2,948",,,,,,
The Show,04-19-2022,1.0,IVE,LOVE DIVE,"8,184",,,,,,
The Show,04-19-2022,2.0,Dreamcatcher,MAISON,"3,559",,,,,,
The Show,04-19-2022,12.0,DKZ,Cupid,"3,560",,,,,,
The Show,04-12-2022,1.0,IVE,LOVE DIVE,"9,400",,,,,,
The Show,04-05-2022,1.0,Oh My Girl,Real Love,"8,881",,,,,,
The Show,03-29-2022,1.0,Highlight,DAYDREAM,"8,650",,,,,,
The Show,03-22-2022,1.0,(G)I-DLE,TOMBOY,"7,970",,,,,,
The Show,03-08-2022,1.0,STAYC,RUN2U,"7,669",,,,,,
The Show,03-01-2022,1.0,STAYC,RUN2U,"8,261",,,,,,
The Show,02-22-2022,1.0,Apink,Dilemma,"9,700",,,,,,
The Show,01-25-2022,1.0,fromis_9,DM,"8,353",,,,,,
The Show,09-19-2023,1.0,Jaechan,Hello,"7,180","4,000",160,"1,440",500.0,80,"1,000"
The Show,09-19-2023,2.0,RIIZE,Get A Guitar,"6,420","2,460",910,"1,370",30.0,"1,480",170
The Show,09-19-2023,3.0,Cravity,Ready Or Not,"4,769",930,"1,000","1,260",30.0,"1,430",119
The Show,09-12-2023,1.0,BOYNEXTDOOR,But Sometimes,"9,080","4,000","1,000","2,000",400.0,680,"1,000"
The Show,09-12-2023,2.0,Lee Chae-yeon,LET'S DANCE,"4,804","1,920",30,950,400.0,950,554
The Show,09-12-2023,3.0,Kim Sejeong,Top or Cliff,"3,609","1,950",50,20,60.0,940,589
The Show,09-05-2023,1.0,H1-Key,SEOUL (Such A Beautiful City),"6,082","4,000",520,730,30.0,720,82
The Show,09-05-2023,2.0,VANNER,PERFORMER,"5,850","1,160",120,"2,000",500.0,"1,070","1,000"
The Show,09-05-2023,3.0,TIOT,Unbeatable,"3,466",990,"1,000",330,70.0,870,206
The Show,08-29-2023,1.0,STAYC,Bubble,"7,285","5,000",,"2,260",,,25
The Show,08-29-2023,2.0,Lee Chan Won,Twist Go Go,"6,210","3,570",,"1,640",,,"1,000"
The Show,08-29-2023,3.0,xikers,HOMEBOY,"2,932",20,,"2,900",,,12
The Show,08-15-2023,1.0,Jo Yu-ri,TAXI,"7,173","3,380",,"3,030",,,763
The Show,08-15-2023,2.0,Kwon Eun-bi,The Flash,"7,150","4,040",,"2,110",,,"1,000"
The Show,08-15-2023,3.0,n.Ssign,Wormhole: New Track,"3,722","1,090",,"2,170",,,462
The Show,08-08-2023,1.0,Kwon Eun-bi,The Flash,"6,960","4,000",120,420,500.0,920,"1,000"
The Show,08-08-2023,2.0,xikers,DO or DIE,"5,693",400,"1,000","2,000",490.0,"1,250",553
The Show,08-08-2023,3.0,BBGIRLS,ONE MORE TIME,"3,852","3,040",,90,60.0,540,122
The Show,08-01-2023,1.0,Oh My Girl,Summer Comes,"9,260","4,000","1,000","2,000",400.0,860,"1,000"
The Show,08-01-2023,2.0,HORI7ON,SIX7EEN,"3,183",40,70,590,500.0,"1,020",963
The Show,08-01-2023,3.0,MIRAE,JUMP!,"2,288",30,110,780,40.0,"1,240",88
The Show,07-25-2023,1.0,ZEROBASEONE,In Bloom,"8,480","4,000","1,000",930,500.0,"1,050","1,000"
The Show,07-25-2023,2.0,MIRAE,JUMP!,"3,282",70,80,"2,000",30.0,"1,080",22
The Show,07-25-2023,3.0,KISS OF LIFE,Shhh,"1,578",380,20,390,10.0,770,8
The Show,07-18-2023,1.0,ZEROBASEONE,In Bloom,"9,350","4,000","1,000","2,000",500.0,850,"1,000"
The Show,07-18-2023,2.0,Odd Eye Circle,Air Force One,"2,325",290,30,"1,302",93.0,555,55
The Show,07-18-2023,3.0,KISS OF LIFE,Shhh,"1,327",266,4,630,4.0,416,7
The Show,07-04-2023,1.0,Han Seung-woo,Dive Into,"7,390","4,000",410,930,500.0,550,"1,000"
The Show,07-04-2023,2.0,WEi,OVERDRIVE,"5,802","1,390","1,000","1,580",80.0,"1,190",562
The Show,07-04-2023,3.0,8TURN,EXCEL,"2,949",390,340,"2,000",10.0,150,59
The Show,06-27-2023,1.0,ATEEZ,Bouncy (K-Hot Chilli Peppers),"9,590","4,000","1,000","2,000",500.0,"1,090","1,000"
The Show,06-27-2023,2.0,Kim Jae-hwan,Lucky! (ft. Bobby),"3,070","1,480",50,230,110.0,"1,090",110
The Show,06-27-2023,3.0,LAPILLUS,Who's Next,"1,457",80,10,230,110.0,970,57
The Show,06-20-2023,1.0,ATEEZ,Bouncy (K-Hot Chilli Peppers),"7,220","1,740","1,000","2,000",490.0,990,"1,000"
The Show,06-20-2023,2.0,fromis_9,#menow,"6,485","4,000",30,470,500.0,"1,000",485
The Show,06-20-2023,3.0,KUN8,Wild Heart,"2,377",60,50,"1,350",10.0,900,7
The Show,06-13-2023,1.0,fromis_9,#menow,"8,700","4,460",,"3,240",,,"1,000"
The Show,06-13-2023,2.0,P1Harmony,JUMP,"4,665","1,080",,"3,170",,,415
The Show,06-13-2023,3.0,THE NEW SIX,Kick It 4 Now,"1,424",210,,"1,130",,,84
The Show,06-06-2023,1.0,AB6IX,LOSER,"8,300","4,000",380,"1,480",500.0,940,"1,000"
The Show,06-06-2023,2.0,CIX,"Save me, Kill me",0,"1,420","1,000","2,000",480.0,940,766
The Show,06-06-2023,3.0,KARD,ICKY,0,240,10,990,330.0,960,248
The Show,05-30-2023,1.0,Dreamcatcher,BONVOYAGE,"9,030","4,000","1,000","1,750",500.0,780,"1,000"
The Show,05-30-2023,2.0,ATBO,Next To Me,"3,378",120,490,"2,000",10.0,730,28
The Show,05-30-2023,3.0,KARD,ICKY,"2,925",570,130,660,470.0,930,165
The Show,05-23-2023,1.0,(G)I-DLE,Queencard,"8,157",,,,,,
The Show,05-16-2023,1.0,ONEUS,Erase Me,"6,690",,,,,,
The Show,05-09-2023,1.0,LE SSERAFIM,UNFORGIVEN (Feat. Nile Rodgers),"9,340",,,,,,
The Show,04-25-2023,1.0,Lee Gi-kwang,Predator,"8,021",,,,,,
The Show,04-18-2023,1.0,IVE,I Am,"7,454",,,,,,
The Show,04-04-2023,1.0,Billlie,EUNOIA,"9,260",,,,,,
The Show,03-28-2023,1.0,Kim Jae-hwan,Spring Breeze,"8,830",,,,,,
The Show,03-14-2023,1.0,Cravity,Groovy,"8,550",,,,,,
The Show,02-28-2023,1.0,Lee Chan-won,Wish Lanterns,"7,310",,,,,,
The Show,02-21-2023,1.0,STAYC,Teddy Bear,"9,360",,,,,,
The Show,12-03-2024,1.0,WayV,FREQUENCY,"7,920",,,,,,
The Show,12-03-2024,2.0,izna,IZNA,"5,519",,,,,,
The Show,12-03-2024,3.0,NOWADAYS,Let's get it,"2,814",,,,,,
The Show,11-12-2024,1.0,Kep1er,TIPI-TAP,"7,680",,,,,,
The Show,11-12-2024,2.0,EPEX,UNIVERSE,"7,445",,,,,,
The Show,11-12-2024,3.0,VIVIZ,Shhh!,"5,348",,,,,,
The Show,11-05-2024,1.0,tripleS,Hit the Floor,"6,900","1,580","1,000","2,000",500.0,820,"1,000"
The Show,11-05-2024,2.0,STAYC,GPT,"5,942","4,000",0,580,300.0,790,272
The Show,11-05-2024,3.0,Kep1er,TIPI-TAP,"2,662",740,500,300,10.0,"1,060",52
The Show,10-29-2024,1.0,KISS OF LIFE,Get Loud,"6,552","4,000",60,"1,150",340.0,700,302
The Show,10-29-2024,2.0,tripleS,Hit the Floor,"6,500","1,140","1,000","2,000",500.0,860,"1,000"
The Show,10-29-2024,3.0,SAY MY NAME,WaveWay,"2,979",340,90,"1,790",30.0,680,49
The Show,09-24-2024,1.0,P1Harmony,SAD SONG,"7,049",,,,,,
The Show,09-24-2024,2.0,Lee Jegyu,Mironi,"4,582",,,,,,
The Show,09-24-2024,3.0,xikers,Bittersweet,"3,990",,,,,,
The Show,09-03-2024,1.0,ZEROBASEONE,GOOD SO BAD,"9,350","4,000","1,000","2,000",500.0,850,"1,000"
The Show,09-03-2024,2.0,Oh My Girl,Classified,"4,735","2,920",40,710,100.0,870,95
The Show,09-03-2024,3.0,YOUNG POSSE,ATE THAT,"2,569",220,10,"1,350",10.0,970,9
The Show,08-27-2024,1.0,SF9,"Don't Worry, Be Happy","7,190",,,,,,
The Show,08-27-2024,2.0,YOUNG POSSE,ATE THAT,"3,926",,,,,,
The Show,08-27-2024,3.0,DRIPPIN,Weekend,"3,128",,,,,,
The Show,08-20-2024,1.0,fromis_9,Supersonic,"9,210",,,,,,
The Show,08-20-2024,2.0,UNIS,Curious,"3,031",,,,,,
The Show,08-20-2024,3.0,LUN8,WHIP,"1,697",,,,,,
The Show,07-09-2024,1.0,KISS OF LIFE,Sticky,"7,900","4,000",0,"2,000",500.0,400,"1,000"
The Show,07-09-2024,2.0,NCT WISH,Songbird,"5,494","1,180","1,000",820,360.0,"1,500",634
The Show,07-09-2024,3.0,Lee Chae-yeon,Don't,"2,288",380,30,610,70.0,930,268
The Show,07-02-2024,1.0,TWS,"If I'm S, Can You Be My N?","9,480","4,000","1,000","2,000",500.0,980,"1,000"
The Show,07-02-2024,2.0,H1-Key,Let It Burn,"3,036","1,470",20,550,40.0,840,116
The Show,07-02-2024,3.0,CHUU,Strawberry Rush,"2,982","1,230",80,550,30.0,"1,030",62
The Show,06-25-2024,1.0,RIIZE,Boom Boom Bass,"9,320","4,000","1,000","2,000",500.0,820,"1,000"
The Show,06-25-2024,2.0,EVNNE,Badder Love,"2,812",640,170,560,270.0,740,432
The Show,06-25-2024,3.0,Kwon Eun-bi,SABOTAGE,"2,323",710,30,300,20.0,"1,180",83
The Show,06-11-2024,1.0,WayV,Give me That,"7,270","3,180","1,000",420,500.0,"1,170","1,000"
The Show,06-11-2024,2.0,Kep1er,Shooting Star,"6,527","3,330",270,"1,310",320.0,"1,030",267
The Show,06-11-2024,3.0,TWS,hey!hey!,"4,998","4,000",0,230,20.0,730,18
The Show,06-04-2024,1.0,ATEEZ,WORK,"9,380","4,000","1,000","2,000",490.0,890,"1,000"
The Show,06-04-2024,2.0,XG,WOKE UP,"3,355",210,20,"1,560",500.0,840,225
The Show,06-04-2024,3.0,JD1,ERROR 405,"1,859",890,50,30,100.0,510,279
The Show,05-28-2024,1.0,ZEROBASEONE,Feel The POP,"7,430","1,780","1,000","2,000",500.0,"1,150","1,000"
The Show,05-28-2024,2.0,tripleS,Girls Never Die,"5,819","4,000",10,230,280.0,"1,030",269
The Show,05-28-2024,3.0,ONEUS,Now,"2,988",240,0,"1,370",160.0,750,468
The Show,05-21-2024,1.0,ZEROBASEONE,Feel The POP,"8,750","3,410","1,000","2,000",500.0,840,"1,000"
The Show,05-21-2024,2.0,tripleS,Girls Never Die,"4,713","4,000",60,170,10.0,440,33
The Show,05-21-2024,3.0,ZEROBASEONE,SWEAT,"3,435","1,410","1,000",60,10.0,940,15
The Show,05-14-2024,1.0,tripleS,Girls Never Die,"7,200","2,140","1,000","1,860",500.0,700,"1,000"
The Show,05-14-2024,2.0,Kim Jae-hwan,Amaid,"5,925","4,000",200,360,470.0,870,25
The Show,05-14-2024,3.0,YOUNITE,GEEKIN,"3,394",40,100,"2,000",50.0,780,424
The Show,05-07-2024,1.0,Solar,But I,"7,270","4,000",290,650,500.0,830,"1,000"
The Show,05-07-2024,2.0,YOUNITE,GEEKIN,"3,761",500,"1,000","1,280",230.0,630,121
The Show,05-07-2024,3.0,82MAJOR,Choke,"2,950",330,200,"2,000",10.0,390,20
The Show,04-23-2024,1.0,BOYNEXTDOOR,"Earth, Wind & Fire","9,200","4,000","1,000","2,000",500.0,700,"1,000"
The Show,04-23-2024,2.0,ILLIT,Magnetic,"4,264","2,910",10,250,130.0,920,44
The Show,04-23-2024,3.0,EPEX,Youth2Youth,"1,957",280,50,540,20.0,950,117
The Show,04-16-2024,1.0,ONF,Bye My Monster,"7,490","3,970",310,810,500.0,900,"1,000"
The Show,04-16-2024,2.0,KISS OF LIFE,Midas Touch,"6,036","4,000",140,430,180.0,"1,100",186
The Show,04-16-2024,3.0,EPEX,Youth2Youth,"4,189",250,"1,000","2,000",20.0,890,29
The Show,04-09-2024,1.0,ILLIT,Magnetic,"8,990","4,000","1,000","1,940",70.0,980,"1,000"
The Show,04-09-2024,2.0,NOWADAYS,OoWee,"4,277",20,320,"1,810",440.0,770,917
The Show,04-09-2024,3.0,KISS OF LIFE,Midas Touch,"3,250",350,270,840,40.0,"1,170",580
The Show,04-02-2024,1.0,ILLIT,Magnetic,"6,904",,,,,,
The Show,04-02-2024,2.0,UNIS,SUPERWOMAN,"3,340",,,,,,
The Show,04-02-2024,3.0,YOUNG POSSE,XXL,"2,446",,,,,,
The Show,03-19-2024,1.0,Highlight,BODY,"8,810",,,,,,
The Show,03-19-2024,2.0,TEMPEST,LIGHTHOUSE,"3,917",,,,,,
The Show,03-19-2024,3.0,xikers,We Don't Stop,"2,507",,,,,,
The Show,03-12-2024,1.0,NCT WISH,WISH,"7,241","3,980","1,000",760,300.0,900,301
The Show,03-12-2024,2.0,Cravity,Love or Die,"7,003","4,000",130,"1,130",470.0,830,443
The Show,03-12-2024,3.0,Kim Hee-Jae,What Should I do?,"6,640","3,590",570,30,500.0,950,"1,000"
The Show,03-05-2024,1.0,Cravity,Love or Die,"9,330","4,000","1,000","2,000",500.0,830,"1,000"
The Show,03-05-2024,2.0,A.C.E,My Girl,"2,929",540,110,920,430.0,740,189
The Show,03-05-2024,3.0,TRI.BE,Diamond,"2,465",230,10,"1,060",60.0,"1,050",55
The Show,02-20-2024,1.0,TWS,plot twist,"5,876","4,000",130,450,60.0,"1,100",136
The Show,02-20-2024,2.0,TEN,Nightwalker,"4,753",550,700,"1,620",490.0,870,523
The Show,02-20-2024,3.0,P1Harmony,Killin' It,"3,775",150,40,"2,000",150.0,"1,340",95
The Show,04-08-2025,1.0,CLOSE YOUR EYES,All My Poetry,"8,605","4,000","1,000","2,000",380.0,740,485
The Show,04-08-2025,2.0,TEMPEST,Unfreeze,"6,330","3,510",160,280,500.0,880,"1,000"
The Show,04-08-2025,3.0,xikers,BREATHE,"3,245","1,360",300,550,140.0,850,45
The Show,04-01-2025,1.0,TEN,STUNNER,"8,600","4,000","1,000","1,210",500.0,890,"1,000"
The Show,04-01-2025,2.0,STAYC,BEBE,"6,880","3,570",140,"2,000",170.0,930,70
The Show,04-01-2025,3.0,THE NEW SIX,For Real!?,"2,139",100,100,"1,200",30.0,690,19
The Show,03-25-2025,1.0,STAYC,BEBE,"7,421",,,,,,
The Show,03-25-2025,2.0,SAY MY NAME,ShaLala,"5,640",,,,,,
The Show,03-25-2025,3.0,The Wind,Only One,"2,390",,,,,,
The Show,03-11-2025,1.0,Hearts2Hearts,The Chase,"8,500","4,000",770,"2,000",330.0,400,"1,000"
The Show,03-11-2025,2.0,GENBLUE,ACT LIKE THAT,"3,351",30,60,"1,720",500.0,990,51
The Show,03-11-2025,3.0,NouerA,N.I.N (New is Now),"2,674",60,"1,000","1,470",30.0,20,94
The Show,03-04-2025,1.0,ZEROBASEONE,BLUE,"9,570","4,000","1,000","2,000",500.0,"1,070","1,000"
The Show,03-04-2025,2.0,Hearts2Hearts,The Chase,"4,651","2,860",300,590,40.0,800,61
The Show,03-04-2025,3.0,ARrC,nu kidz,"1,541",20,10,270,10.0,"1,220",11
